人民幣	人民幣 ￥
齒輪	齒輪 ⚙️
夾鉗	夾鉗 🗜
天平	天平 ⚖️
白手杖	白手杖 🦯
手杖	手杖 🦯
鏈接	鏈接 🔗
link	link 🔗
鏈條	鏈條 ⛓️
鐵鏈	鐵鏈 ⛓️
鎖鏈	鎖鏈 ⛓️
鏈子	鏈子 ⛓️
鐵鏈子	鐵鏈子 ⛓️
鉤子	鉤子 🪝
掛鉤	掛鉤 🪝
鐵鉤	鐵鉤 🪝
彎鉤	彎鉤 🪝
工具箱	工具箱 🧰
磁鐵	磁鐵 🧲
吸鐵石	吸鐵石 🧲
磁力	磁力 🧲
磁石	磁石 🧲
梯子	梯子 🪜
爬梯	爬梯 🪜
爬梯子	爬梯子 🪜
搭梯子	搭梯子 🪜
翻牆	翻牆 🪜
科學上網	科學上網 🪜
魔法上網	魔法上網 🪜
蒸餾器	蒸餾器 ⚗️
試管	試管 🧪
培養皿	培養皿 🧫
DNA	DNA 🧬
脫氧核糖核酸	脫氧核糖核酸 🧬
基因	基因 🧬
顯微鏡	顯微鏡 🔬
望遠鏡	望遠鏡 🔭
衛星天線	衛星天線 📡
天線	天線 📡
接收天線	接收天線 📡
注射器	注射器 💉
打針	打針 💉
血滴	血滴 🩸
滴血	滴血 🩸
藥丸	藥丸 💊
膠囊	膠囊 💊
創可貼	創可貼 🩹
創口貼	創口貼 🩹
柺杖	柺杖 🩼
聽診器	聽診器 🩺
X射線	X射線 🩻
X光	X光 🩻
X光片	X光片 🩻
拍片	拍片 🩻
胸透	胸透 🩻
胸片	胸片 🩻
門	門 🚪
房門	房門 🚪
門子	門子 🚪
電梯	電梯 🛗
升降機	升降機 🛗
鏡子	鏡子 🪞
魔鏡	魔鏡 🪞
窗戶	窗戶 🪟
床	床 🛏
沙發和燈	沙發和燈 🛋
沙發	沙發 🛋
椅子	椅子 🪑
凳子	凳子 🪑
馬桶	馬桶 🚽
馬桶吸	馬桶吸 🪠
搋子	搋子 🪠
馬桶搋	馬桶搋 🪠
馬桶搋子	馬桶搋子 🪠
水拔子	水拔子 🪠
皮老虎	皮老虎 🪠
馬桶吸盤	馬桶吸盤 🪠
吸把	吸把 🪠
馬桶吸把	馬桶吸把 🪠
馬桶疏通器	馬桶疏通器 🪠
通通樂	通通樂 🪠
馬桶塞	馬桶塞 🪠
馬桶抽子	馬桶抽子 🪠
淋浴	淋浴 🚿
噴頭	噴頭 🚿
浴缸	浴缸 🛁
捕鼠器	捕鼠器 🪤
剃刀	剃刀 🪒
剃鬚刀	剃鬚刀 🪒
刮鬍刀	刮鬍刀 🪒
手動刮鬍刀	手動刮鬍刀 🪒
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
護膚霜	護膚霜 🧴
洗髮水	洗髮水 🧴
沐浴露	沐浴露 🧴
洗髮露	洗髮露 🧴
安全別針	安全別針 🧷
別針	別針 🧷
釦針	釦針 🧷
掃帚	掃帚 🧹
掃把	掃把 🧹
笤帚	笤帚 🧹
籃子	籃子 🧺
竹籃	竹籃 🧺
菜籃	菜籃 🧺
菜籃子	菜籃子 🧺
衛生紙	衛生紙 🧻
捲紙	捲紙 🧻
紙巾	紙巾 🧻
水桶	水桶 🪣
圓桶	圓桶 🪣
肥皂	肥皂 🧼
香皂	香皂 🧼
泡泡	泡泡 🫧
氣泡	氣泡 🫧
牙刷	牙刷 🪥
刷牙	刷牙 🪥
海綿	海綿 🧽
清洗	清洗 🧽
滅火器	滅火器 🧯
購物車	購物車 🛒
手推車	手推車 🛒
煙	煙 🚬
香菸	香菸 🚬
捲菸	捲菸 🚬
紙菸	紙菸 🚬
吸菸	吸菸 🚬
抽菸	抽菸 🚬
烤煙	烤煙 🚬
點菸	點菸 🚬
來一根	來一根 🚬
來一根兒	來一根兒 🚬
一支菸	一支菸 🚬
棺材	棺材 ⚰️
靈柩	靈柩 ⚰️
墓碑	墓碑 🪦
墳墓	墳墓 🪦
骨灰盒	骨灰盒 ⚱️
骨灰缸	骨灰缸 ⚱️
奉金甕	奉金甕 ⚱️
黃金甕	黃金甕 ⚱️
金甕	金甕 ⚱️
金塔	金塔 ⚱️
骨甕	骨甕 ⚱️
骨罈	骨罈 ⚱️
惡魔之眼	惡魔之眼 🧿
惡魔眼	惡魔眼 🧿
惡魔的眼	惡魔的眼 🧿
法蒂瑪	法蒂瑪 🪬
法蒂瑪之手	法蒂瑪之手 🪬
復活島	復活島 🗿
復活節島	復活節島 🗿
復活節島石像	復活節島石像 🗿
摩艾石像	摩艾石像 🗿
標語	標語 🪧
佈告	佈告 🪧
佈告牌	佈告牌 🪧
標語牌	標語牌 🪧
身份證	身份證 🪪 🆔
ID	ID 🪪 🆔
駕照	駕照 🪪
執照	執照 🪪
證件	證件 🪪
證照	證照 🪪
ATM	ATM 🏧
取款機	取款機 🏧
提款機	提款機 🏧
垃圾入簍標誌	垃圾入簍標誌 🚮
垃圾入簍	垃圾入簍 🚮
垃圾丟棄處	垃圾丟棄處 🚮
丟垃圾	丟垃圾 🚮
扔垃圾	扔垃圾 🚮
倒垃圾	倒垃圾 🚮
水龍頭	水龍頭 🚰
飲用水	飲用水 🚰
直飲水	直飲水 🚰
飲水處	飲水處 🚰
輪椅標誌	輪椅標誌 ♿
男士標誌	男士標誌 🚹
男士符號	男士符號 🚹
男士	男士 🚹
男廁	男廁 🚹
男廁所	男廁所 🚹
男洗手間	男洗手間 🚹
女士標誌	女士標誌 🚺
女士符號	女士符號 🚺
女士	女士 🚺
女廁	女廁 🚺
女廁所	女廁所 🚺
女洗手間	女洗手間 🚺
衛生間	衛生間 🚻 🚾
廁所	廁所 🚻 🚾
洗手間	洗手間 🚻
盥洗室	盥洗室 🚻
嬰兒符號	嬰兒符號 🚼
嬰兒標誌	嬰兒標誌 🚼
WC	WC 🚾
護照檢查處	護照檢查處 🛂
安檢	安檢 🛂
護照檢查	護照檢查 🛂
檢查護照	檢查護照 🛂
海關	海關 🛃
海關檢查	海關檢查 🛃
行李領取處	行李領取處 🛄
行李領取	行李領取 🛄
領取行李	領取行李 🛄
行李寄存處	行李寄存處 🛅
行李寄存	行李寄存 🛅
寄存行李	寄存行李 🛅
警告	警告 ⚠️
注意	注意 ⚠️
危險	危險 ⚠️
預警	預警 ⚠️
學童過街	學童過街 🚸
兒童過街	兒童過街 🚸
注意兒童	注意兒童 🚸
當心兒童	當心兒童 🚸
禁止駛入	禁止駛入 ⛔
禁止通行	禁止通行 ⛔
請勿入內	請勿入內 ⛔
請勿駛入	請勿駛入 ⛔
禁止	禁止 🚫 🈲
嚴禁	嚴禁 🚫 🈲
不準	不準 🚫
不許	不許 🚫
禁止騎車	禁止騎車 🚳
禁止騎行	禁止騎行 🚳
禁止自行車	禁止自行車 🚳
禁止吸菸	禁止吸菸 🚭
請勿吸菸	請勿吸菸 🚭
禁菸	禁菸 🚭
勿扔垃圾	勿扔垃圾 🚯
勿丟垃圾	勿丟垃圾 🚯
請勿亂丟垃圾	請勿亂丟垃圾 🚯
請勿亂扔垃圾	請勿亂扔垃圾 🚯
禁丟垃圾	禁丟垃圾 🚯
禁止扔垃圾	禁止扔垃圾 🚯
禁止丟垃圾	禁止丟垃圾 🚯
禁止亂扔垃圾	禁止亂扔垃圾 🚯
禁止亂丟垃圾	禁止亂丟垃圾 🚯
非飲用水	非飲用水 🚱
請勿飲用	請勿飲用 🚱
禁止行人	禁止行人 🚷
禁止行人通行	禁止行人通行 🚷
禁止使用手機	禁止使用手機 📵
禁止打電話	禁止打電話 📵
十八禁	十八禁 🔞
未成年	未成年 🔞
未成年不宜	未成年不宜 🔞
成人	成人 🔞
放射性	放射性 ☢️
輻射	輻射 ☢️
生物危害	生物危害 ☣️
生化危機	生化危機 ☣️
瘟疫公司	瘟疫公司 ☣️
上	上 ⬆️ ↑
上箭頭	上箭頭 ⬆️ ↑
向上箭頭	向上箭頭 ⬆️
右上	右上 ↗️ ↗
右上箭頭	右上箭頭 ↗️ ↗
右	右 ➡️ →
右箭頭	右箭頭 ➡️ →
向右箭頭	向右箭頭 ➡️
右下	右下 ↘️ ↘
右下箭頭	右下箭頭 ↘️ ↘
下	下 ⬇️ ↓
下箭頭	下箭頭 ⬇️ ↓
向下箭頭	向下箭頭 ⬇️
左下	左下 ↙️ ↙
左下箭頭	左下箭頭 ↙️ ↙
左	左 ⬅️ ←
左箭頭	左箭頭 ⬅️ ←
向左箭頭	向左箭頭 ⬅️
左上	左上 ↖️ ↖
左上箭頭	左上箭頭 ↖️ ↖
上下	上下 ↕️ ↕
上下箭頭	上下箭頭 ↕️ ↕
左右	左右 ↔️ ↔︎
左右箭頭	左右箭頭 ↔️ ↔︎
回車	回車 ↩️
重新載入	重新載入 🔃
順時針	順時針 🔃
順時針方向	順時針方向 🔃
順時針垂直箭頭	順時針垂直箭頭 🔃
逆時針	逆時針 🔄
逆時針方向	逆時針方向 🔄
逆時針垂直箭頭	逆時針垂直箭頭 🔄
back	back 🔙
退回	退回 🔙
end	end 🔚
結束	結束 🔚
on	on 🔛
開啟	開啟 🔛
soon	soon 🔜
馬上	馬上 🔜
top	top 🔝
禱告	禱告 🛐
原子符號	原子符號 ⚛️
原子	原子 ⚛️
atom	atom ⚛️
奧姆	奧姆 🕉
奧姆符號	奧姆符號 🕉
大衛之星	大衛之星 ✡️
法輪	法輪 ☸️
太極	太極 ☯️
陰陽	陰陽 ☯️
十字架	十字架 ✝️
基督	基督 ✝️
基督教	基督教 ✝️
東正教	東正教 ☦️
東正教十字架	東正教十字架 ☦️
星月	星月 ☪️
和平	和平 ☮️
和平符號	和平符號 ☮️
和平標誌	和平標誌 ☮️
世界和平	世界和平 ☮️
peace	peace ☮️
光明節	光明節 🕎
六角星	六角星 🔯
六芒星	六芒星 🔯
魔法陣	魔法陣 🔯
錫克	錫克 🪯
錫克教	錫克教 🪯
坎達	坎達 🪯
坎達符號	坎達符號 🪯
白羊座	白羊座 ♈
金牛座	金牛座 ♉
雙子座	雙子座 ♊
巨蟹座	巨蟹座 ♋
獅子座	獅子座 ♌
處女座	處女座 ♍
天秤座	天秤座 ♎
天蠍座	天蠍座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
雙魚座	雙魚座 ♓
蛇夫座	蛇夫座 ⛎
隨機播放	隨機播放 🔀
隨機	隨機 🔀
交叉箭頭	交叉箭頭 🔀
循環播放	循環播放 🔁
單曲循環	單曲循環 🔂
播放	播放 ▶️
開始	開始 ▶️
開始播放	開始播放 ▶️
快進	快進 ⏩
快進符號	快進符號 ⏩
下一首	下一首 ⏭️
播放暫停	播放暫停 ⏯️
倒退	倒退 ◀️
倒退按鈕	倒退按鈕 ◀️
快退	快退 ⏪
快退符號	快退符號 ⏪
上一首	上一首 ⏮️
上三角	上三角 🔼
調高	調高 🔼
快上	快上 ⏫
下三角	下三角 🔽
調低	調低 🔽
快下	快下 ⏬
暫停	暫停 ⏸️
停止	停止 ⏹️
錄音	錄音 ⏺️
錄音按鈕	錄音按鈕 ⏺️
開始錄音	開始錄音 ⏺️
錄像	錄像 ⏺️
錄像按鈕	錄像按鈕 ⏺️
開始錄像	開始錄像 ⏺️
彈出	彈出 ⏏️
推出	推出 ⏏️
彈出按鈕	彈出按鈕 ⏏️
推出按鈕	推出按鈕 ⏏️
電影院	電影院 🎦
亮度	亮度 🔅 🔆
亮度低	亮度低 🔅
低亮度	低亮度 🔅
亮度高	亮度高 🔆
高亮度	高亮度 🔆
信號強度條	信號強度條 📶
信號強度	信號強度 📶
信號	信號 📶
手機信號	手機信號 📶
wireless	wireless 🛜
WiFi	WiFi 🛜
Wi-Fi	Wi-Fi 🛜
無線局域網	無線局域網 🛜
無線網	無線網 🛜
無線網絡	無線網絡 🛜
網絡	網絡 🛜
震動	震動 📳
振動模式	振動模式 📳
關機	關機 📴
手機關機	手機關機 📴
關閉手機	關閉手機 📴
女	女 ♀
女性	女性 ♀
男	男 ♂
男性	男性 ♂
跨性別	跨性別 ⚧ 🏳️‍⚧️
跨性別符號	跨性別符號 ⚧
變性	變性 ⚧
乘	乘 ✖️
乘以	乘以 ✖️
乘號	乘號 ✖️
加	加 ➕
加號	加號 ➕
減	減 ➖
減號	減號 ➖
除	除 ➗
除以	除以 ➗
除號	除號 ➗
等於	等於 🟰
等號	等號 🟰
等於號	等於號 🟰
粗等號	粗等號 🟰
雙感嘆號	雙感嘆號 ‼️
雙驚歎號	雙驚歎號 ‼️
雙歎號	雙歎號 ‼️
倆歎號	倆歎號 ‼️
疑問驚歎號	疑問驚歎號 ⁉️
疑問驚歎	疑問驚歎 ⁉️
嘆問號	嘆問號 ⁉️
歎號問號	歎號問號 ⁉️
感嘆號問號	感嘆號問號 ⁉️
驚問	驚問 ⁉️
問號	問號 ❓ ❔
白色問號	白色問號 ❔
白問號	白問號 ❔
感嘆號	感嘆號 ❗ ❕
驚歎號	驚歎號 ❗ ❕
歎號	歎號 ❗ ❕
白色感嘆號	白色感嘆號 ❕
白色驚歎號	白色驚歎號 ❕
白色歎號	白色歎號 ❕
白感嘆號	白感嘆號 ❕
白驚歎號	白驚歎號 ❕
白歎號	白歎號 ❕
波浪型破折號	波浪型破折號 〰️
波浪線	波浪線 〰️
兌換	兌換 💱
外匯	外匯 💱
換匯	換匯 💱
匯率	匯率 💱
流通	流通 💱
貨幣兌換	貨幣兌換 💱
出國	出國 💱
粗美元符號	粗美元符號 💲
貨幣	貨幣 💲
價錢	價錢 💲
醫療標誌	醫療標誌 ⚕
醫療符號	醫療符號 ⚕
蛇杖	蛇杖 ⚕
阿斯克勒庇俄斯	阿斯克勒庇俄斯 ⚕
單蛇之杖	單蛇之杖 ⚕
環保	環保 ♻️
循環	循環 ♻️
循環再生	循環再生 ♻️
循環利用	循環利用 ♻️
回收	回收 ♻️
百合花飾	百合花飾 ⚜️
百合花	百合花 ⚜️
鳶尾花	鳶尾花 ⚜️
三叉戟	三叉戟 🔱
三叉戟標誌	三叉戟標誌 🔱
姓名牌	姓名牌 📛
日本新手駕駛標誌	日本新手駕駛標誌 🔰
日本初學者標誌	日本初學者標誌 🔰
對	對 ⭕ ✅ ✔
答對	答對 ⭕ ✅
答對了	答對了 ⭕ ✅
正確	正確 ⭕ ✅ ✔
圓圈	圓圈 ⭕
對號	對號 ✅ ✔
對鉤	對鉤 ✅ ✔
按鈕	按鈕 ☑️ 🔘
勾選	勾選 ☑️ ✔
複選	複選 ☑️
複選框	複選框 ☑️
複選按鈕	複選按鈕 ☑️
打鉤	打鉤 ☑️
打對鉤	打對鉤 ☑️
錯	錯 ❌ ❎
答錯	答錯 ❌ ❎
答錯了	答錯了 ❌ ❎
錯號	錯號 ❌ ❎
錯誤	錯誤 ❌ ❎
叉	叉 ❌ ❎
叉叉	叉叉 ❌ ❎
畫叉	畫叉 ❌ ❎
捲曲環	捲曲環 ➰
雙捲曲環	雙捲曲環 ➿
歌記號	歌記號 〽️
八輪輻星號	八輪輻星號 ✳️
八角星	八角星 ✴️
版權	版權 ©
版權符號	版權符號 ©
Copyright	Copyright ©
註冊	註冊 ®
註冊標記	註冊標記 ®
註冊商標符號	註冊商標符號 ®
註冊商標	註冊商標 ®
Registered	Registered ®
商標	商標 ™
商標符號	商標符號 ™
TM	TM ™
井號	井號 #️⃣
井號鍵	井號鍵 #️⃣
星號	星號 *️⃣
星號鍵	星號鍵 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
ABCD	ABCD 🔠
英文	英文 🔠 🔡
英語	英語 🔠 🔡
拉丁文	拉丁文 🔠 🔡
大寫	大寫 🔠
英文大寫	英文大寫 🔠
大寫字母	大寫字母 🔠
abcd	abcd 🔡
小寫	小寫 🔡
英文小寫	英文小寫 🔡
小寫字母	小寫字母 🔡
數字	數字 🔢
一二三四	一二三四 🔢
符號	符號 🔣
字符	字符 🔣
abc	abc 🔤
血型	血型 🅰️ 🆎 🅱️ 🅾️
A	A 🅰️
A型	A型 🅰️
A型血	A型血 🅰️
A血型	A血型 🅰️
AB	AB 🆎
AB型	AB型 🆎
AB型血	AB型血 🆎
AB血型	AB血型 🆎
B	B 🅱️
B型	B型 🅱️
B型血	B型血 🅱️
B血型	B血型 🅱️
O	O 🅾️
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
清除	清除 🆑
清理	清理 🆑
clear	clear 🆑
cool	cool 🆒
酷	酷 🆒
超酷	超酷 🆒
很酷	很酷 🆒
特別酷	特別酷 🆒
free	free 🆓
免費	免費 🆓
自由	自由 🆓
資訊	資訊 ℹ️
info	info ℹ️
information	information ℹ️
身份	身份 🆔
new	new 🆕
新	新 🆕
新的	新的 🆕
新建	新建 🆕
全新	全新 🆕
NG	NG 🆖
重拍	重拍 🆖
停車	停車 🅿️
停車場	停車場 🅿️
停車按鈕	停車按鈕 🅿️
泊車	泊車 🅿️
parking	parking 🅿️
SOS	SOS 🆘
求救信號	求救信號 🆘
求救訊號	求救訊號 🆘
救命	救命 🆘
救我	救我 🆘
救救我	救救我 🆘
求救	求救 🆘
up	up 🆙
頂	頂 🆙
升級	升級 🆙
Vs.	Vs. 🆚
比	比 🆚
對決	對決 🆚
對抗	對抗 🆚
對戰	對戰 🆚
比賽	比賽 🆚
這裡	這裡 🈁
服務費	服務費 🈂️
月	月 🈷️
有	有 🈶
有料	有料 🈶
收費	收費 🈶
指	指 🈯
得	得 🉐
討價還價	討價還價 🉐
割	割 🈹
打折	打折 🈹
無	無 🈚️
沒有	沒有 🈚️
禁	禁 🈲
可	可 🉑
申	申 🈸
申請	申請 🈸
合	合 🈴
合格	合格 🈴
空	空 🈳
空位	空位 🈳
祝	祝 ㊗️
祝福	祝福 ㊗️
秘	秘 ㊙️
營	營 🈺
營業	營業 🈺
開門營業	開門營業 🈺
滿	滿 🈵
滿座	滿座 🈵
滿了	滿了 🈵
沒有空位	沒有空位 🈵
紅色	紅色 🔴 🟥
橙色	橙色 🟠 🟧
橘色	橘色 🟠 🟧
橘黃色	橘黃色 🟠 🟧
黃色	黃色 🟡 🟨
綠色	綠色 🟢 🟩
藍色	藍色 🔵 🟦
紫色	紫色 🟣 🟪
棕色	棕色 🟤 🟫
圓形	圓形 ⚫ ⚪
圍棋	圍棋 ⚫ ⚪
黑白棋	黑白棋 ⚫ ⚪
黑色	黑色 ⚫ ⬛
黑子	黑子 ⚫
黑棋	黑棋 ⚫
黑點	黑點 ⚫
小黑點	小黑點 ⚫
小黑點兒	小黑點兒 ⚫
白色	白色 ⚪ ⬜
白子	白子 ⚪
白棋	白棋 ⚪
白點	白點 ⚪
小白點	小白點 ⚪
小白點兒	小白點兒 ⚪
元宵	元宵 ⚪
湯圓	湯圓 ⚪
雪球	雪球 ⚪
小圓點	小圓點 ⚪
小圓點兒	小圓點兒 ⚪
正方形	正方形 ⬛ ⬜
方塊	方塊 ⬛ ⬜
方形	方形 ⬛ ⬜
矩形	矩形 ⬛ ⬜
黑框	黑框 ⬛
小黑框	小黑框 ⬛
白框	白框 ⬜
小白框	小白框 ⬜
中方塊	中方塊 ◼ ◻
中正方形	中正方形 ◼ ◻
白色中方塊	白色中方塊 ◼
中等方塊	中等方塊 ◼ ◻
中等正方形	中等正方形 ◼ ◻
白色中等方塊	白色中等方塊 ◼
黑色中方塊	黑色中方塊 ◻
黑色中等方塊	黑色中等方塊 ◻
大方塊	大方塊 ◾ ◽
大正方形	大正方形 ◾ ◽
白色大方塊	白色大方塊 ◾
黑色大方塊	黑色大方塊 ◽
小方塊	小方塊 ▪ ▫
小正方形	小正方形 ▪ ▫
白色小方塊	白色小方塊 ▪
黑色小方塊	黑色小方塊 ▫
菱形	菱形 🔶 🔷
大菱形	大菱形 🔶 🔷
橙色菱形	橙色菱形 🔶
橘色菱形	橘色菱形 🔶
橘黃色菱形	橘黃色菱形 🔶
橙色大菱形	橙色大菱形 🔶
橘色大菱形	橘色大菱形 🔶
橘黃色大菱形	橘黃色大菱形 🔶
藍色菱形	藍色菱形 🔷
藍色大菱形	藍色大菱形 🔷
小方片	小方片 🔸 🔹
小菱形	小菱形 🔸 🔹
橙色小菱形	橙色小菱形 🔸
橘色小菱形	橘色小菱形 🔸
橘黃色小菱形	橘黃色小菱形 🔸
藍色小菱形	藍色小菱形 🔹
三角	三角 🔺 🔻
三角形	三角形 🔺 🔻
正三角	正三角 🔺
紅色正三角	紅色正三角 🔺
倒三角	倒三角 🔻
紅色倒三角	紅色倒三角 🔻
單選	單選 🔘
單選框	單選框 🔘
單選按鈕	單選按鈕 🔘
方形按鈕	方形按鈕 🔳 🔲
白線方形按鈕	白線方形按鈕 🔳
白線正方形按鈕	白線正方形按鈕 🔳
白色方形按鈕	白色方形按鈕 🔳
白色正方形按鈕	白色正方形按鈕 🔳
白邊線方形按鈕	白邊線方形按鈕 🔳
白邊線正方形按鈕	白邊線正方形按鈕 🔳
黑線方形按鈕	黑線方形按鈕 🔲
黑線正方形按鈕	黑線正方形按鈕 🔲
黑色方形按鈕	黑色方形按鈕 🔲
黑色正方形按鈕	黑色正方形按鈕 🔲
黑邊線方形按鈕	黑邊線方形按鈕 🔲
黑邊線正方形按鈕	黑邊線正方形按鈕 🔲
格子旗	格子旗 🏁
終點旗	終點旗 🏁
終點	終點 🏁
旗幟	旗幟 🏁 🚩 🎌 🏴 🏳 🏳️‍🌈 🏳️‍⚧️ 🏴‍☠️
旗子	旗子 🏁 🚩 🎌 🏴 🏳 🏳️‍🌈 🏳️‍⚧️ 🏴‍☠️
紅旗	紅旗 🚩
旗	旗 🏁 🚩 🎌 🏴 🏳 🏳️‍🌈 🏳️‍⚧️ 🏴‍☠️
投降	投降 🏳️ ┗(T﹏T)┛
彩虹旗	彩虹旗 🏳️‍🌈
異性	異性 ⚤ 💏 👫 💏
同性	同性 ⚢ ⚣ 🏳️‍🌈 👬 👭 👨‍❤️‍👨 👩‍❤️‍👩 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩
異性戀	異性戀 ⚤ 💏 👫 💏
三角旗	三角旗 🚩
旗杆上的三角旗	旗杆上的三角旗 🚩
旗杆上的旗幟	旗杆上的旗幟 🚩
紅色旗幟	紅色旗幟 🚩
交叉旗	交叉旗 🎌
舉黑旗	舉黑旗 🏴
黑旗	黑旗 🏴
黑色旗	黑色旗 🏴
黑色旗子	黑色旗子 🏴
黑色旗幟	黑色旗幟 🏴
舉白旗	舉白旗 🏳
白旗	白旗 🏳
白色旗子	白色旗子 🏳
白色旗幟	白色旗幟 🏳
認輸	認輸 🏳
認輸了	認輸了 🏳
同性旗	同性旗 🏳️‍🌈
跨性別旗	跨性別旗 🏳️‍⚧️
海盜	海盜 🏴‍☠️
海盜旗	海盜旗 🏴‍☠️
海賊	海賊 🏴‍☠️
海賊旗	海賊旗 🏴‍☠️
阿森松島	阿森松島 🇦🇨
Ascension	Ascension 🇦🇨
安道爾	安道爾 🇦🇩
Andorra	Andorra 🇦🇩
阿拉伯聯合酋長國	阿拉伯聯合酋長國 🇦🇪
Arab	Arab 🇦🇪
阿富汗	阿富汗 🇦🇫
Afghanistan	Afghanistan 🇦🇫
安提瓜和巴布達	安提瓜和巴布達 🇦🇬
Antigua	Antigua 🇦🇬
Barbuda	Barbuda 🇦🇬
安圭拉島	安圭拉島 🇦🇮
Anguilla	Anguilla 🇦🇮
阿爾巴尼亞	阿爾巴尼亞 🇦🇱
Albania	Albania 🇦🇱
亞美尼亞	亞美尼亞 🇦🇲
Armenia	Armenia 🇦🇲
安哥拉	安哥拉 🇦🇴
Angola	Angola 🇦🇴
南極洲	南極洲 🇦🇶
Antarctica	Antarctica 🇦🇶
阿根廷	阿根廷 🇦🇷
Argentina	Argentina 🇦🇷
奧地利	奧地利 🇦🇹
Austria	Austria 🇦🇹
澳大利亞	澳大利亞 🇦🇺
Australia	Australia 🇦🇺
阿魯巴島	阿魯巴島 🇦🇼
Aruba	Aruba 🇦🇼
阿蘭群島	阿蘭群島 🇦🇽
Åland	Åland 🇦🇽
阿塞拜疆	阿塞拜疆 🇦🇿
Azerbaijan	Azerbaijan 🇦🇿
波斯尼亞和黑塞哥維那	波斯尼亞和黑塞哥維那 🇧🇦
Bosnia	Bosnia 🇧🇦
Herzegovina	Herzegovina 🇧🇦
巴巴多斯	巴巴多斯 🇧🇧
Barbados	Barbados 🇧🇧
孟加拉	孟加拉 🇧🇩
Bangladesh	Bangladesh 🇧🇩
比利時	比利時 🇧🇪
Belgium	Belgium 🇧🇪
布基納法索	布基納法索 🇧🇫
BurkinaFaso	BurkinaFaso 🇧🇫
保加利亞	保加利亞 🇧🇬
Bulgaria	Bulgaria 🇧🇬
巴林	巴林 🇧🇭
Bahrain	Bahrain 🇧🇭
布隆迪	布隆迪 🇧🇮
Burundi	Burundi 🇧🇮
貝寧	貝寧 🇧🇯
Benin	Benin 🇧🇯
百慕大	百慕大 🇧🇲
Bermuda	Bermuda 🇧🇲
文萊	文萊 🇧🇳
Brunei	Brunei 🇧🇳
玻利維亞	玻利維亞 🇧🇴
Bolivia	Bolivia 🇧🇴
加勒比	加勒比 🇧🇶
Caribbean	Caribbean 🇧🇶
巴西	巴西 🇧🇷
Brazil	Brazil 🇧🇷
巴哈馬	巴哈馬 🇧🇸
Bahamas	Bahamas 🇧🇸
不丹	不丹 🇧🇹
Bhutan	Bhutan 🇧🇹
布維島	布維島 🇧🇻
Bouvet	Bouvet 🇧🇻
博茨瓦納	博茨瓦納 🇧🇼
Botswana	Botswana 🇧🇼
白俄羅斯	白俄羅斯 🇧🇾
Belarus	Belarus 🇧🇾
伯利茲	伯利茲 🇧🇿
Belize	Belize 🇧🇿
加拿大	加拿大 🇨🇦
Canada	Canada 🇨🇦
湯加	湯加 🇹🇴
Tonga	Tonga 🇹🇴
科科斯	科科斯 🇨🇨
Cocos	Cocos 🇨🇨
剛果	剛果 🇨🇩 🇨🇬
Congo	Congo 🇨🇩 🇨🇬
中非共和國	中非共和國 🇨🇫
African	African 🇨🇫
瑞士	瑞士 🇨🇭
Switzerland	Switzerland 🇨🇭
科特迪瓦	科特迪瓦 🇨🇮
庫克群島	庫克群島 🇨🇰
Cook	Cook 🇨🇰
智利	智利 🇨🇱
Chile	Chile 🇨🇱
喀麥隆	喀麥隆 🇨🇲
Cameroon	Cameroon 🇨🇲
中國	中國 🇨🇳 中華人民共和國
中華人民共和國	中華人民共和國 🇨🇳
China	China 🇨🇳
哥倫比亞	哥倫比亞 🇨🇴
Colombia	Colombia 🇨🇴
克利珀頓	克利珀頓 🇨🇵
Clipperton	Clipperton 🇨🇵
哥斯達黎加	哥斯達黎加 🇨🇷
古巴	古巴 🇨🇺
Cuba	Cuba 🇨🇺
佛得角	佛得角 🇨🇻
庫拉索	庫拉索 🇨🇼
Curaçao	Curaçao 🇨🇼
聖誕島	聖誕島 🇨🇽
Christmas	Christmas 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
Cyprus	Cyprus 🇨🇾
捷克	捷克 🇨🇿
Czech	Czech 🇨🇿
德國	德國 🇩🇪 德意志聯邦共和國
Germany	Germany 🇩🇪
迪戈加西亞島	迪戈加西亞島 🇩🇬
吉布提	吉布提 🇩🇯
Djibouti	Djibouti 🇩🇯
丹麥	丹麥 🇩🇰
Denmark	Denmark 🇩🇰
多米尼加	多米尼加 🇩🇲 🇩🇴
Dominica	Dominica 🇩🇲 🇩🇴
阿爾及利亞	阿爾及利亞 🇩🇿
Algeria	Algeria 🇩🇿
休達	休達 🇪🇦
梅利利亞	梅利利亞 🇪🇦
Ceuta	Ceuta 🇪🇦
Melilla	Melilla 🇪🇦
厄瓜多爾	厄瓜多爾 🇪🇨
Ecuador	Ecuador 🇪🇨
